frame,cx,cy,x,y,w,h,yolo_conf,group_id
165,274.5,48.0,266.0,39.0,17.0,18.0,0.628,4.0
166,272.5,47.0,264.0,38.0,17.0,18.0,0.74,4.0
167,270.5,46.0,262.0,37.0,17.0,18.0,,4.0
168,269.0,47.0,261.0,39.0,16.0,16.0,0.62,4.0
169,267.5,47.5,260.0,39.0,15.0,17.0,0.704,4.0
170,265.5,48.5,258.0,40.0,15.0,17.0,,4.0
171,263.5,51.0,256.0,42.0,15.0,18.0,0.663,4.0
172,262.5,53.0,255.0,45.0,15.0,16.0,0.726,4.0
173,261.5,56.0,254.0,48.0,15.0,16.0,,4.0
174,259.5,59.0,252.0,51.0,15.0,16.0,,4.0
175,257.5,64.0,250.0,56.0,15.0,16.0,,4.0
176,257.5,67.0,250.0,59.0,15.0,16.0,,4.0
177,255.5,70.0,248.0,62.0,15.0,16.0,,4.0
178,253.5,76.0,246.0,68.0,15.0,16.0,,4.0
179,252.5,82.0,245.0,74.0,15.0,16.0,,4.0
180,251.5,86.0,244.0,78.0,15.0,16.0,,4.0
181,250.5,91.0,243.0,83.0,15.0,16.0,,4.0
182,249.5,98.0,242.0,90.0,15.0,16.0,,4.0
183,248.5,105.0,241.0,97.0,15.0,16.0,,4.0
184,248.5,122.5,244.0,116.0,9.0,13.0,,4.0
185,247.5,123.5,243.0,117.0,9.0,13.0,,4.0
186,247.5,123.5,243.0,117.0,9.0,13.0,0.516,4.0
187,247.5,122.0,243.0,116.0,9.0,12.0,,4.0
188,247.5,122.0,243.0,116.0,9.0,12.0,,4.0
189,247.0,122.0,243.0,116.0,8.0,12.0,,4.0
190,243.0,146.0,237.0,139.0,12.0,14.0,,4.0
191,241.0,146.0,235.0,139.0,12.0,14.0,,4.0
192,241.0,146.0,235.0,139.0,12.0,14.0,0.531,4.0
193,240.0,149.0,234.0,142.0,12.0,14.0,,4.0
194,238.5,152.0,233.0,147.0,11.0,10.0,,4.0
195,237.5,155.0,232.0,150.0,11.0,10.0,0.635,4.0
196,236.5,157.0,231.0,152.0,11.0,10.0,,4.0
197,236.0,161.5,231.0,156.0,10.0,11.0,0.743,4.0
198,235.0,166.5,230.0,161.0,10.0,11.0,0.758,4.0
199,234.0,170.5,229.0,165.0,10.0,11.0,0.696,4.0
200,233.0,175.5,228.0,170.0,10.0,11.0,0.62,4.0
201,232.0,180.0,227.0,174.0,10.0,12.0,0.684,4.0
202,232.0,185.5,227.0,180.0,10.0,11.0,0.565,4.0
203,230.5,191.5,225.0,185.0,11.0,13.0,0.667,4.0
204,230.5,198.0,225.0,193.0,11.0,10.0,0.56,4.0
205,229.5,205.0,224.0,200.0,11.0,10.0,,4.0
206,228.0,212.0,223.0,207.0,10.0,10.0,0.572,4.0
207,227.5,219.5,223.0,214.0,9.0,11.0,0.655,4.0
208,226.5,226.5,222.0,221.0,9.0,11.0,,4.0
209,226.0,236.0,221.0,230.0,10.0,12.0,,4.0
210,225.0,244.0,220.0,238.0,10.0,12.0,0.549,4.0
211,224.0,248.0,219.0,242.0,10.0,12.0,,4.0
