frame,cx,cy,x,y,w,h,yolo_conf,group_id
153,230.5,118.0,220.0,106.0,21.0,24.0,0.833,2.0
154,230.0,108.5,220.0,96.0,20.0,25.0,0.855,2.0
155,228.5,98.0,218.0,86.0,21.0,24.0,0.84,2.0
156,226.0,87.0,216.0,76.0,20.0,22.0,0.867,2.0
157,223.5,78.5,213.0,65.0,21.0,27.0,0.849,2.0
158,220.5,70.0,210.0,58.0,21.0,24.0,0.839,2.0
159,217.5,62.5,208.0,52.0,19.0,21.0,0.839,2.0
160,214.5,56.0,205.0,45.0,19.0,22.0,0.857,2.0
161,212.5,51.5,203.0,40.0,19.0,23.0,0.797,2.0
162,210.5,47.0,201.0,37.0,19.0,20.0,0.825,2.0
163,208.0,44.0,199.0,33.0,18.0,22.0,0.817,2.0
164,206.0,41.5,197.0,31.0,18.0,21.0,0.778,2.0
165,204.0,40.5,195.0,31.0,18.0,19.0,0.724,2.0
166,202.5,39.5,194.0,30.0,17.0,19.0,0.827,2.0
167,200.0,39.0,192.0,29.0,16.0,20.0,0.768,2.0
168,198.5,38.5,191.0,30.0,15.0,17.0,0.811,2.0
169,197.0,39.5,189.0,31.0,16.0,17.0,0.778,2.0
170,195.5,40.5,188.0,32.0,15.0,17.0,0.757,2.0
171,193.5,42.5,186.0,34.0,15.0,17.0,0.807,2.0
172,192.5,45.5,185.0,37.0,15.0,17.0,0.763,2.0
173,190.5,48.0,183.0,39.0,15.0,18.0,0.599,2.0
174,189.5,51.5,183.0,42.0,13.0,19.0,0.691,2.0
175,188.0,55.5,181.0,47.0,14.0,17.0,0.713,2.0
176,187.0,59.0,180.0,51.0,14.0,16.0,0.508,2.0
177,186.0,63.0,179.0,55.0,14.0,16.0,,2.0
178,184.5,68.0,178.0,60.0,13.0,16.0,0.722,2.0
179,183.5,73.0,177.0,65.0,13.0,16.0,,2.0
180,181.5,78.0,175.0,70.0,13.0,16.0,,2.0
181,180.5,84.5,174.0,76.0,13.0,17.0,,2.0
182,179.5,90.5,173.0,82.0,13.0,17.0,,2.0
183,178.5,96.5,172.0,88.0,13.0,17.0,0.545,2.0
184,178.5,96.5,172.0,88.0,13.0,17.0,,2.0
185,178.5,96.5,172.0,88.0,13.0,17.0,,2.0
186,169.0,139.5,164.0,134.0,10.0,11.0,,3.0
187,178.0,97.0,172.0,89.0,12.0,16.0,,2.0
188,179.5,97.5,173.0,89.0,13.0,17.0,,2.0
189,178.5,97.5,172.0,89.0,13.0,17.0,,2.0
190,171.5,138.0,166.0,132.0,11.0,12.0,0.692,3.0
191,170.0,138.5,164.0,133.0,12.0,11.0,0.576,3.0
192,169.5,138.5,164.0,132.0,11.0,13.0,0.663,3.0
193,168.5,142.5,163.0,137.0,11.0,11.0,0.654,3.0
194,168.0,144.5,163.0,138.0,10.0,13.0,0.523,3.0
195,167.5,147.5,162.0,142.0,11.0,11.0,0.71,3.0
196,166.5,151.0,161.0,145.0,11.0,12.0,0.742,3.0
197,165.5,153.5,160.0,148.0,11.0,11.0,0.795,3.0
198,164.5,158.0,159.0,152.0,11.0,12.0,0.81,3.0
199,164.0,162.5,159.0,156.0,10.0,13.0,0.732,3.0
200,164.0,166.5,159.0,160.0,10.0,13.0,,3.0
201,162.0,172.5,157.0,167.0,10.0,11.0,0.663,3.0
202,160.5,177.5,155.0,172.0,11.0,11.0,0.511,3.0
203,160.5,185.0,155.0,178.0,11.0,14.0,0.554,3.0
204,159.5,191.0,154.0,184.0,11.0,14.0,,3.0
205,183.5,211.5,179.0,205.0,9.0,13.0,0.515,3.0
206,158.0,203.5,153.0,198.0,10.0,11.0,0.66,3.0
207,156.5,211.5,152.0,206.0,9.0,11.0,0.571,3.0
208,156.5,218.5,152.0,213.0,9.0,11.0,,3.0
209,154.5,226.5,150.0,221.0,9.0,11.0,,3.0
210,153.5,235.5,149.0,230.0,9.0,11.0,,3.0
211,152.5,239.5,148.0,234.0,9.0,11.0,,3.0
212,152.5,233.5,148.0,228.0,9.0,11.0,,3.0
213,151.5,226.5,147.0,221.0,9.0,11.0,,3.0
214,151.5,220.5,147.0,215.0,9.0,11.0,,3.0
215,149.5,214.5,145.0,209.0,9.0,11.0,,3.0
216,151.0,206.5,147.0,201.0,8.0,11.0,,3.0
217,148.0,201.5,144.0,196.0,8.0,11.0,,3.0
218,147.0,198.5,143.0,193.0,8.0,11.0,,3.0
219,146.0,194.5,142.0,189.0,8.0,11.0,,3.0
220,145.0,189.5,141.0,184.0,8.0,11.0,,3.0
221,144.0,186.5,140.0,181.0,8.0,11.0,,3.0
222,143.0,183.5,139.0,178.0,8.0,11.0,,3.0
223,142.0,180.5,138.0,175.0,8.0,11.0,,3.0
224,141.0,178.5,137.0,173.0,8.0,11.0,0.534,3.0
225,140.0,177.5,136.0,172.0,8.0,11.0,,3.0
226,138.0,177.5,134.0,172.0,8.0,11.0,,3.0
227,138.0,173.5,134.0,168.0,8.0,11.0,,3.0
228,137.0,174.5,133.0,169.0,8.0,11.0,,3.0
229,134.0,178.5,130.0,173.0,8.0,11.0,,3.0
230,132.0,178.5,128.0,173.0,8.0,11.0,,3.0
231,130.0,178.5,126.0,173.0,8.0,11.0,,3.0
232,127.0,179.5,123.0,174.0,8.0,11.0,,3.0
233,124.0,178.5,120.0,173.0,8.0,11.0,,3.0
234,122.0,178.5,118.0,173.0,8.0,11.0,,3.0
235,123.0,175.5,119.0,170.0,8.0,11.0,,3.0
236,122.0,174.5,118.0,169.0,8.0,11.0,,3.0
237,119.0,177.5,115.0,172.0,8.0,11.0,,3.0
238,119.0,176.5,115.0,171.0,8.0,11.0,,3.0
239,118.0,177.5,114.0,172.0,8.0,11.0,,3.0
240,116.0,179.5,112.0,174.0,8.0,11.0,,3.0
241,116.0,180.5,112.0,175.0,8.0,11.0,,3.0
242,115.0,180.5,111.0,175.0,8.0,11.0,,3.0
243,115.0,179.5,111.0,174.0,8.0,11.0,,3.0
244,113.0,179.5,109.0,174.0,8.0,11.0,,3.0
245,110.0,179.5,106.0,174.0,8.0,11.0,,3.0
246,109.0,178.5,105.0,173.0,8.0,11.0,,3.0
247,108.0,178.5,104.0,173.0,8.0,11.0,,3.0
248,104.5,198.5,99.0,193.0,11.0,11.0,,3.0
249,102.5,198.5,97.0,193.0,11.0,11.0,,3.0
250,100.5,199.5,95.0,194.0,11.0,11.0,,3.0
251,99.5,199.5,94.0,194.0,11.0,11.0,,3.0
252,97.5,197.5,92.0,192.0,11.0,11.0,,3.0
253,95.5,199.5,90.0,194.0,11.0,11.0,,3.0
254,97.5,195.5,92.0,190.0,11.0,11.0,,3.0
255,95.5,196.5,90.0,191.0,11.0,11.0,,3.0
256,95.5,196.5,90.0,191.0,11.0,11.0,,3.0
257,93.5,195.5,88.0,190.0,11.0,11.0,,3.0
258,91.5,196.5,86.0,191.0,11.0,11.0,,3.0
259,89.5,194.5,84.0,189.0,11.0,11.0,,3.0
260,88.5,195.5,83.0,190.0,11.0,11.0,,3.0
261,86.5,195.5,81.0,190.0,11.0,11.0,,3.0
262,85.5,195.5,80.0,190.0,11.0,11.0,,3.0
263,83.5,196.5,78.0,191.0,11.0,11.0,,3.0
264,82.5,196.5,77.0,191.0,11.0,11.0,,3.0
265,81.5,198.5,76.0,193.0,11.0,11.0,,3.0
266,79.5,199.5,74.0,194.0,11.0,11.0,,3.0
267,78.5,201.5,73.0,196.0,11.0,11.0,,3.0
268,76.5,201.5,71.0,196.0,11.0,11.0,,3.0
269,72.5,202.5,67.0,197.0,11.0,11.0,,3.0
270,69.5,202.5,64.0,197.0,11.0,11.0,,3.0
271,67.5,202.5,62.0,197.0,11.0,11.0,0.625,3.0
272,65.5,204.0,60.0,199.0,11.0,10.0,0.639,3.0
273,64.0,204.0,59.0,199.0,10.0,10.0,0.504,3.0
274,63.5,205.5,58.0,200.0,11.0,11.0,0.659,3.0
275,62.5,206.0,56.0,200.0,13.0,12.0,0.65,3.0
