frame,cx,cy,x,y,w,h,conf
246,241.0,143.5,230,133,22,21,0.8
247,241.0,143.5,230,133,22,21,0.801
248,241.0,143.5,230,133,22,21,0.8
249,241.0,143.5,230,133,22,21,0.8
250,241.0,143.5,230,133,22,21,0.8
251,241.0,143.5,230,133,22,21,0.802
252,241.0,143.5,230,133,22,21,0.801
253,241.0,143.5,230,133,22,21,0.8
254,241.0,143.5,230,133,22,21,0.801
255,241.0,143.5,230,133,22,21,0.802
256,241.0,143.5,230,133,22,21,0.801
257,241.0,143.5,230,133,22,21,0.798
258,241.0,143.5,230,133,22,21,0.8
259,241.0,143.5,230,133,22,21,0.8
260,241.0,143.5,230,133,22,21,0.8
261,241.0,143.5,230,133,22,21,0.802
262,241.0,143.5,230,133,22,21,0.802
263,241.0,143.5,230,133,22,21,0.803
264,241.0,144.0,230,133,22,22,0.818
265,241.0,144.0,230,133,22,22,0.819
266,241.0,144.0,230,133,22,22,0.818
267,241.0,144.0,230,133,22,22,0.818
268,241.0,144.0,230,133,22,22,0.819
269,241.0,144.0,230,133,22,22,0.82
270,241.0,144.0,230,133,22,22,0.822
271,241.0,144.0,230,133,22,22,0.821
272,241.0,144.0,230,133,22,22,0.819
273,241.0,144.0,230,133,22,22,0.821
274,241.0,144.0,230,133,22,22,0.818
275,241.0,144.0,230,133,22,22,0.82
276,240.5,144.0,230,133,21,22,0.806
277,240.5,144.0,230,133,21,22,0.803
278,240.5,144.0,230,133,21,22,0.805
279,240.5,144.0,230,133,21,22,0.804
280,240.5,143.5,230,133,21,21,0.806
281,240.5,144.0,230,133,21,22,0.806
282,240.5,143.5,230,133,21,21,0.807
283,240.5,143.5,230,133,21,21,0.806
284,240.5,143.5,230,133,21,21,0.806
285,240.5,143.5,230,133,21,21,0.807
286,240.5,143.5,230,133,21,21,0.806
287,240.5,144.0,230,133,21,22,0.807
288,241.0,144.0,230,133,22,22,0.803
289,241.0,144.0,230,133,22,22,0.803
290,241.0,144.0,230,133,22,22,0.804
291,241.0,144.0,230,133,22,22,0.802
292,240.5,144.0,230,133,21,22,0.805
293,240.5,144.0,230,133,21,22,0.806
294,240.5,144.0,230,133,21,22,0.805
295,240.5,144.0,230,133,21,22,0.806
296,240.5,144.0,230,133,21,22,0.804
297,240.5,143.5,230,133,21,21,0.804
298,240.5,143.5,230,133,21,21,0.804
299,240.5,144.0,230,133,21,22,0.805
300,241.0,143.5,230,133,22,21,0.825
301,241.0,143.5,230,133,22,21,0.824
302,241.0,143.5,230,133,22,21,0.825
303,241.0,143.5,230,133,22,21,0.824
304,241.0,143.5,230,133,22,21,0.824
305,241.0,143.5,230,133,22,21,0.823
306,241.0,144.0,230,133,22,22,0.824
307,240.5,144.0,229,133,23,22,0.824
308,241.0,144.0,230,133,22,22,0.824
309,241.0,144.0,230,133,22,22,0.825
310,240.5,144.0,229,133,23,22,0.825
311,241.0,144.0,230,133,22,22,0.825
312,241.0,144.0,230,133,22,22,0.821
313,241.0,144.0,230,133,22,22,0.821
314,241.0,144.0,230,133,22,22,0.823
315,241.0,144.0,230,133,22,22,0.824
316,241.0,144.0,230,133,22,22,0.823
317,241.0,144.0,230,133,22,22,0.824
318,241.0,144.0,230,133,22,22,0.824
319,241.0,144.0,230,133,22,22,0.826
320,241.0,144.0,230,133,22,22,0.826
321,241.0,144.0,230,133,22,22,0.826
322,241.0,144.0,230,133,22,22,0.828
323,241.0,144.0,230,133,22,22,0.828
324,241.0,143.5,230,133,22,21,0.828
325,241.0,143.5,230,133,22,21,0.829
326,241.0,143.5,230,133,22,21,0.83
327,241.0,143.5,230,133,22,21,0.832
328,241.0,143.5,230,133,22,21,0.83
329,241.0,143.5,230,133,22,21,0.83
330,240.5,143.5,229,133,23,21,0.815
331,240.5,143.5,229,133,23,21,0.814
332,240.5,143.5,229,133,23,21,0.815
333,240.5,143.5,229,133,23,21,0.815
334,240.5,143.5,229,133,23,21,0.815
335,240.5,143.5,229,133,23,21,0.815
336,241.0,144.5,230,134,22,21,0.804
337,241.0,144.5,230,134,22,21,0.805
338,241.0,144.5,230,134,22,21,0.805
339,241.0,144.5,230,134,22,21,0.806
340,241.0,144.5,230,134,22,21,0.805
341,241.0,144.5,230,134,22,21,0.805
342,241.0,144.5,230,134,22,21,0.805
343,241.0,144.5,230,134,22,21,0.806
344,241.0,144.5,230,134,22,21,0.805
345,241.0,144.5,230,134,22,21,0.805
346,241.0,144.5,230,134,22,21,0.805
347,241.0,144.5,230,134,22,21,0.805
348,241.0,144.0,230,133,22,22,0.808
349,241.0,144.0,230,133,22,22,0.808
350,241.0,144.0,230,133,22,22,0.808
351,241.0,144.0,230,133,22,22,0.808
352,241.0,144.0,230,133,22,22,0.808
353,241.0,144.0,230,133,22,22,0.807
354,241.0,144.0,230,133,22,22,0.807
355,241.0,144.0,230,133,22,22,0.807
356,241.0,144.0,230,133,22,22,0.807
357,241.0,144.0,230,133,22,22,0.807
358,241.0,144.0,230,133,22,22,0.807
359,241.0,144.0,230,133,22,22,0.808
360,241.0,143.5,230,133,22,21,0.818
361,241.0,143.5,230,133,22,21,0.818
362,241.0,143.5,230,133,22,21,0.818
363,241.0,143.5,230,133,22,21,0.82
364,241.0,143.5,230,133,22,21,0.82
365,241.0,143.5,230,132,22,23,0.818
366,241.0,143.5,230,132,22,23,0.818
367,241.0,143.5,230,132,22,23,0.814
368,241.0,143.5,230,132,22,23,0.813
369,241.0,143.5,230,132,22,23,0.816
370,241.0,143.5,230,132,22,23,0.811
371,241.0,143.5,230,132,22,23,0.813
372,241.0,143.5,230,132,22,23,0.813
373,241.0,143.5,230,132,22,23,0.816
374,241.0,143.5,230,132,22,23,0.816
375,241.0,143.5,230,132,22,23,0.82
376,241.0,143.5,230,132,22,23,0.82
377,241.0,143.5,230,132,22,23,0.821
378,241.0,143.5,230,132,22,23,0.819
379,241.0,143.5,230,132,22,23,0.817
380,241.0,143.5,230,132,22,23,0.816
381,241.0,143.5,230,132,22,23,0.815
382,241.0,143.5,230,132,22,23,0.816
383,241.0,143.5,230,132,22,23,0.815
384,241.0,143.0,230,132,22,22,0.814
385,241.0,143.0,230,132,22,22,0.813
386,241.0,143.0,230,132,22,22,0.814
387,241.0,143.0,230,132,22,22,0.814
388,241.0,143.0,230,132,22,22,0.813
389,241.0,143.0,230,132,22,22,0.813
390,241.0,143.0,230,132,22,22,0.812
391,241.0,143.0,230,132,22,22,0.815
392,241.0,143.0,230,132,22,22,0.814
393,241.0,143.0,230,132,22,22,0.815
394,241.0,143.0,230,132,22,22,0.815
395,241.0,143.0,230,132,22,22,0.815
396,241.0,144.0,230,133,22,22,0.807
397,241.0,144.0,230,133,22,22,0.807
398,241.0,144.0,230,133,22,22,0.805
399,241.0,144.0,230,133,22,22,0.805
400,241.0,144.0,230,133,22,22,0.805
401,241.0,144.0,230,133,22,22,0.805
402,241.0,144.0,230,133,22,22,0.804
403,241.0,144.0,230,133,22,22,0.805
404,241.0,144.0,230,133,22,22,0.805
405,241.0,144.0,230,133,22,22,0.805
406,241.0,144.0,230,133,22,22,0.807
